MAL_ID,Name,Score,Genres,English_name,Type,Episodes,Aired,Premiered,Studios,Source,Ranked,Popularity,Themes,Synopsis
997,Bishoujo Senshi Sailor Moon S: Kaguya-hime no Koibito,7.68,"Adventure, Comedy, Drama, Magic, Romance, Fantasy, Shoujo",Sailor Moon S Movie:Hearts in Ice,Movie,1,"Dec 4, 1994",Unknown,"Toei Animation, Production Reed",Manga,1071,2379,,
6046,Tales of Vesperia: The First Strike,7.62,"Action, Adventure, Fantasy, Magic, Military",Tales of Vesperia ~The First Strike~,Movie,1,"Oct 3, 2009",Unknown,Production I.G,Game,1216,2380,,
51,Tenshi Kinryouku,6.31,"Action, Drama, Romance, Shoujo, Supernatural",Angel Sanctuary,OVA,3,"May 25, 2000 to Aug 25, 2000",Unknown,Hal Film Maker,Manga,6823,2381,,
892,Dragon Ball Movie 3: Makafushigi Daibouken,6.88,"Action, Adventure, Comedy, Fantasy, Sci-Fi, Shounen, Super Power",Dragon Ball:Mystical Adventure,Movie,1,"Jul 9, 1988",Unknown,Toei Animation,Manga,4101,2382,,
1808,Kamichama Karin,7.28,"Comedy, Fantasy, Magic, Romance, School, Shoujo",Unknown,TV,26,"Apr 6, 2007 to Sep 28, 2007",Spring 2007,Satelight,Manga,2423,2383,,
11491,Recorder to Randoseru Do♪,6.69,"Comedy, School, Seinen, Slice of Life",Recorder and Randsell,TV,13,"Jan 6, 2012 to Mar 28, 2012",Winter 2012,Seven,4-koma manga,4967,2384,,
19391,Shingeki no Kyojin Picture Drama,6.63,"Parody, Comedy",Unknown,Special,9,"Jul 17, 2013 to Mar 19, 2014",Unknown,Studio Moriken,Manga,5228,2385,,
13767,Junjou Romantica OVA,7.8,"Comedy, Drama, Romance, Shounen Ai",Unknown,OVA,2,"Dec 20, 2012 to Dec 1, 2015",Unknown,Studio Deen,Manga,824,2386,,
35067,Osomatsu-san 2nd Season,7.6,"Comedy, Parody",Mr. Osomatsu 2,TV,25,"Oct 3, 2017 to Mar 27, 2018",Fall 2017,Studio Pierrot,Manga,1273,2387,,
218,Kidou Senkan Nadesico,7.52,"Action, Comedy, Mecha, Military, Parody, Romance, Sci-Fi, Shounen, Space",Martian Successor Nadesico,TV,26,"Oct 1, 1996 to Mar 25, 1997",Fall 1996,Xebec,Original,1521,2388,,
746,Papa to Kiss in the Dark,6.03,"Comedy, Drama, Romance, Yaoi",Papa to Kiss in the Dark,OVA,2,"Nov 23, 2005 to Dec 21, 2005",Unknown,TNK,Light novel,Unknown,2389,,
15133,Aoi Sekai no Chuushin de,5.78,"Action, Adventure, Ecchi, Fantasy, Parody, Shounen",World War Blue,Special,3,"Oct 20, 2012 to Apr 4, 2013",Unknown,Fifth Avenue,Manga,8909,2390,,
738,MÄR,7.28,"Action, Adventure, Comedy, Fantasy, Shounen",Unknown,TV,102,"Apr 3, 2005 to Mar 25, 2007",Spring 2005,SynergySP,Manga,2455,2391,,
7870,Baka to Test to Shoukanjuu Specials,7.33,"Magic, Comedy, School",Unknown,Special,6,"Apr 23, 2010 to Sep 22, 2010",Unknown,SILVER LINK.,Light novel,2204,2392,,
19123,One Piece: Episode of Merry - Mou Hitori no Nakama no Monogatari,8.21,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Super Power",Unknown,Special,1,"Aug 24, 2013",Unknown,Toei Animation,Manga,300,2393,,
36990,Non Non Biyori Movie: Vacation,8.22,"Comedy, Seinen, Slice of Life",Unknown,Movie,1,"Aug 25, 2018",Unknown,SILVER LINK.,Manga,291,2394,,
39819,Bokutachi wa Benkyou ga Dekinai: Nagisa ni Usemono Arite Senjin wa Enzen to X Suru,7.29,"Harem, Comedy, Romance, School, Shounen",Unknown,OVA,1,"Nov 1, 2019",Unknown,"Silver, Arvo Animation",Manga,2380,2395,,
12581,Asa made Jugyou Chu!,6.13,"Comedy, Ecchi, Romance, School",Unknown,OVA,1,"Jun 23, 2012",Unknown,GoHands,Manga,7672,2396,,
19511,Naruto: Shippuuden - Sunny Side Battle,7.43,"Action, Comedy, Super Power, Martial Arts, Shounen",Unknown,Special,1,"Oct 6, 2013",Unknown,Studio Pierrot,Original,1790,2397,,
345,Eikoku Koi Monogatari Emma,7.67,"Slice of Life, Historical, Drama, Romance, Seinen",Emma:A Victorian Romance,TV,12,"Apr 3, 2005 to Jun 19, 2005",Spring 2005,Studio Pierrot,Manga,1097,2398,,
667,Kashimashi: Girl Meets Girl,6.67,"Comedy, Drama, Romance, School, Shoujo Ai, Slice of Life",Girl Meets Girl,TV,12,"Jan 12, 2006 to Mar 30, 2006",Winter 2006,Studio Hibari,Manga,5054,2399,,
35333,Hitori no Shita: The Outcast 2nd Season,7.41,"Action, Super Power, Supernatural",Hitori no Shita - The Outcast 2,ONA,24,"Oct 27, 2017 to May 18, 2018",Unknown,Haoliners Animation League,Web manga,1867,2400,,
2006,Yu☆Gi☆Oh! (Movie),6.91,"Game, Adventure, Comedy, Fantasy, Shounen",Unknown,Movie,1,"Mar 6, 1999",Unknown,Toei Animation,Manga,3981,2401,,
7748,Sono Hanabira ni Kuchizuke wo: Anata to Koibito Tsunagi,7.26,"Hentai, School, Yuri",A Kiss for the Petals:Becoming Your Lover,OVA,1,"Jul 30, 2010",Unknown,ChuChu,Visual novel,Unknown,2402,,
9355,Sekirei: Pure Engagement Episode 0,7.23,"Ecchi, Comedy, Harem",Unknown,Special,1,"Aug 25, 2010",Unknown,Seven Arcs,Manga,2629,2403,,
24475,Mangaka-san to Assistant-san to The Animation Specials,7.23,"Comedy, Ecchi, Harem, Seinen, Slice of Life",Unknown,Special,6,"Jun 25, 2014 to Nov 26, 2014",Unknown,Zexcs,4-koma manga,2662,2404,,
990,Kamisama Kazoku,7.15,"Fantasy, Romance, Comedy, Drama",Unknown,TV,13,"May 18, 2006 to Aug 10, 2006",Spring 2006,Toei Animation,Light novel,2996,2405,,
82,Mobile Suit Gundam 0080: War in the Pocket,7.9,"Military, Sci-Fi, Space, Drama, Mecha",Mobile Suit Gundam 0080:War in the Pocket,OVA,6,"Mar 25, 1989 to Aug 25, 1989",Unknown,Sunrise,Original,677,2406,,
1532,Suki na Mono wa Suki Dakara Shou ga Nai!!,6.71,"Comedy, Drama, Romance, Shoujo, Shounen Ai, Slice of Life",Sukisho,TV,12,"Jan 9, 2005 to Mar 27, 2005",Winter 2005,Zexcs,Visual novel,4833,2407,,
20033,Miss Monochrome The Animation,6.4,"Music, Slice of Life, Comedy",Unknown,TV,13,"Oct 2, 2013 to Dec 25, 2013",Fall 2013,"SANZIGEN, LIDENFILMS",Original,6407,2408,,
1367,Detective Conan Movie 08: Magician of the Silver Sky,8.1,"Adventure, Mystery, Comedy, Police, Shounen",Unknown,Movie,1,"Apr 17, 2004",Unknown,TMS Entertainment,Manga,409,2409,,
36702,Shingeki no Kyojin Season 2 Movie: Kakusei no Houkou,7.76,"Action, Drama, Fantasy, Shounen, Super Power",Unknown,Movie,1,"Jan 13, 2018",Unknown,Wit Studio,Manga,903,2410,,
11763,Sekai de Ichiban Tsuyoku Naritai!,5.81,"Action, Ecchi, Sports",Wanna Be the Strongest in the World,TV,12,"Oct 6, 2013 to Dec 22, 2013",Fall 2013,Arms,Manga,8807,2411,,
